164	fmax	fmax, fmaxf, fmaxl — determine maximum numeric value of two floating-point numbers
165	fmemopen	fmemopen — open a memory buffer stream
166	fmin	fmin, fminf, fminl — determine minimum numeric value of two floating-point numbers
167	fmod	fmod, fmodf, fmodl — floating-point remainder value function
168	fmtmsg	fmtmsg — display a message in the specified format on standard error and/or a system console
169	fnmatch	fnmatch — match a filename string or a pathname
170	fopen	fopen — open a stream
171	fork	fork — create a new process
172	fpathconf	fpathconf, pathconf — get configurable pathname variables
173	fpclassify	fpclassify — classify real floating type
174	fprintf	asprintf, dprintf, fprintf, printf, snprintf, sprintf — print formatted output
175	fputc	fputc — put a byte on a stream
176	fputs	fputs — put a string on a stream
177	fputwc	fputwc — put a wide-character code on a stream
178	fputws	fputws — put a wide-character string on a stream
179	fread	fread — binary input
180	free	free — free allocated memory
181	freeaddrinfo	freeaddrinfo, getaddrinfo — get address information
182	freelocale	freelocale — free resources allocated for a locale object
183	freopen	freopen — open a stream
184	frexp	frexp, frexpf, frexpl — extract significand and exponent from a double precision number
185	fscanf	fscanf, scanf, sscanf — convert formatted input
186	fseek	fseek, fseeko — reposition a file-position indicator in a stream
187	fsetpos	fsetpos — set current file position
188	fstat	fstat — get file status
189	fstatat	fstatat, lstat, stat — get file status
190	fstatvfs	fstatvfs, statvfs — get file system information
191	fsync	fsync — synchronize changes to a file
192	ftell	ftell, ftello — return a file offset in a stream
193	ftok	ftok — generate an IPC key
194	ftruncate	ftruncate — truncate a file to a specified length
195	futimens	futimens, utimensat, utimes — set file access and modification times
196	fwide	fwide — set stream orientation
197	fwprintf	fwprintf, swprintf, wprintf — print formatted wide-character output
198	fwrite	fwrite — binary output
199	fwscanf	fwscanf, swscanf, wscanf — convert formatted wide-character input
200	gai_strerror	gai_strerror — address and name information error description
201	getc	getc — get a byte from a stream
202	getc_unlocked	getc_unlocked, getchar_unlocked, putc_unlocked, putchar_unlocked — stdio with explicit client locking
203	getchar	getchar — get a byte from a stdin stream
204	getcwd	getcwd — get the pathname of the current working directory
205	getdate	getdate — convert user format date and time
206	getdelim	getdelim, getline — read a delimited record from stream
207	getegid	getegid — get the effective group ID
208	getentropy	getentropy — fill a buffer with random bytes
209	getenv	getenv, secure_getenv — get value of an environment variable
210	geteuid	geteuid — get the effective user ID
211	getgid	getgid — get the real group ID
212	getgrgid	getgrgid, getgrgid_r — get group database entry for a group ID
213	getgrnam	getgrnam, getgrnam_r — search group database for a name
